strategy,seed,final_return,best_return,best_step,late_return,auc_return,eval_points,run_dir
annealed_epsilon_boltzmann,0,272.3,500.0,50000,325.4667,232.3,20,runs/cartpole_100k/20260602-195238_CartPole-v1_annealed_epsilon_boltzmann_seed0
annealed_epsilon_boltzmann,1,500.0,500.0,90000,500.0,180.4013,20,runs/cartpole_100k/20260602-204901_CartPole-v1_annealed_epsilon_boltzmann_seed1
annealed_epsilon_boltzmann,2,500.0,500.0,80000,500.0,228.8105,20,runs/cartpole_100k/20260602-214533_CartPole-v1_annealed_epsilon_boltzmann_seed2
annealed_epsilon_boltzmann,3,500.0,500.0,95000,493.7667,164.9039,20,runs/cartpole_100k/20260602-224547_CartPole-v1_annealed_epsilon_boltzmann_seed3
annealed_epsilon_boltzmann,4,500.0,500.0,70000,500.0,225.4276,20,runs/cartpole_100k/20260602-234904_CartPole-v1_annealed_epsilon_boltzmann_seed4
epsilon_greedy,0,119.45,500.0,50000,347.5333,349.1066,20,runs/cartpole_100k/20260602-193735_CartPole-v1_epsilon_greedy_seed0
epsilon_greedy,1,59.05,277.6,25000,76.9,119.6842,20,runs/cartpole_100k/20260602-203532_CartPole-v1_epsilon_greedy_seed1
epsilon_greedy,2,500.0,500.0,60000,500.0,274.1263,20,runs/cartpole_100k/20260602-213112_CartPole-v1_epsilon_greedy_seed2
epsilon_greedy,3,500.0,500.0,100000,418.9167,197.1013,20,runs/cartpole_100k/20260602-223031_CartPole-v1_epsilon_greedy_seed3
epsilon_greedy,4,500.0,500.0,85000,429.3167,162.5197,20,runs/cartpole_100k/20260602-233332_CartPole-v1_epsilon_greedy_seed4
topk_boltzmann,0,130.45,500.0,85000,233.2167,157.4592,20,runs/cartpole_100k/20260602-200643_CartPole-v1_topk_boltzmann_seed0
topk_boltzmann,1,361.15,500.0,95000,316.8667,148.0434,20,runs/cartpole_100k/20260602-210259_CartPole-v1_topk_boltzmann_seed1
topk_boltzmann,2,500.0,500.0,85000,500.0,298.5895,20,runs/cartpole_100k/20260602-215930_CartPole-v1_topk_boltzmann_seed2
topk_boltzmann,3,182.6,500.0,60000,273.4,226.5066,20,runs/cartpole_100k/20260602-230059_CartPole-v1_topk_boltzmann_seed3
topk_boltzmann,4,34.55,500.0,65000,94.1,238.875,20,runs/cartpole_100k/20260603-010436_CartPole-v1_topk_boltzmann_seed4
uncertainty_switch,0,500.0,500.0,45000,500.0,342.1263,20,runs/cartpole_100k/20260602-202029_CartPole-v1_uncertainty_switch_seed0
uncertainty_switch,1,500.0,500.0,90000,500.0,168.7224,20,runs/cartpole_100k/20260602-211704_CartPole-v1_uncertainty_switch_seed1
uncertainty_switch,2,73.0,500.0,70000,350.3333,214.5816,20,runs/cartpole_100k/20260602-221512_CartPole-v1_uncertainty_switch_seed2
uncertainty_switch,3,500.0,500.0,90000,500.0,188.1724,20,runs/cartpole_100k/20260602-231728_CartPole-v1_uncertainty_switch_seed3
uncertainty_switch,4,500.0,500.0,100000,318.2667,118.0987,20,runs/cartpole_100k/20260603-011839_CartPole-v1_uncertainty_switch_seed4
