strategy,seed,final_return,best_return,best_step,late_return,auc_return,eval_points,run_dir
annealed_epsilon_boltzmann,0,217.7901,259.8899,280000,217.9926,126.8589,30,runs/lunarlander_300k/20260603-212509_LunarLander-v3_annealed_epsilon_boltzmann_seed0
annealed_epsilon_boltzmann,1,243.9991,278.1049,280000,262.4194,77.084,30,runs/lunarlander_300k/20260604-001320_LunarLander-v3_annealed_epsilon_boltzmann_seed1
annealed_epsilon_boltzmann,2,236.6456,264.106,200000,249.8233,103.6076,30,runs/lunarlander_300k/20260604-064339_LunarLander-v3_annealed_epsilon_boltzmann_seed2
annealed_epsilon_boltzmann,3,258.2442,258.2442,300000,255.7492,93.7766,30,runs/lunarlander_300k/20260604-102837_LunarLander-v3_annealed_epsilon_boltzmann_seed3
annealed_epsilon_boltzmann,4,244.5273,245.5048,160000,237.4739,77.4758,30,runs/lunarlander_300k/20260604-194738_LunarLander-v3_annealed_epsilon_boltzmann_seed4
epsilon_greedy,0,262.1998,263.5527,250000,256.5007,96.2267,30,runs/lunarlander_300k/20260603-220825_LunarLander-v3_epsilon_greedy_seed0
epsilon_greedy,1,264.4056,264.7685,290000,259.7488,29.6701,30,runs/lunarlander_300k/20260604-005433_LunarLander-v3_epsilon_greedy_seed1
epsilon_greedy,2,182.3801,182.3801,300000,62.1455,-42.1806,30,runs/lunarlander_300k/20260604-082119_LunarLander-v3_epsilon_greedy_seed2
epsilon_greedy,3,269.956,269.956,300000,253.3999,75.0965,30,runs/lunarlander_300k/20260604-111018_LunarLander-v3_epsilon_greedy_seed3
epsilon_greedy,4,-13.9806,61.2042,220000,-1.3363,-33.3308,30,runs/lunarlander_300k/20260604-203347_LunarLander-v3_epsilon_greedy_seed4
topk_boltzmann,0,69.7481,244.981,280000,173.1397,-35.3322,30,runs/lunarlander_300k/20260603-224941_LunarLander-v3_topk_boltzmann_seed0
topk_boltzmann,1,145.2006,165.0211,290000,100.5405,-36.3728,30,runs/lunarlander_300k/20260604-013641_LunarLander-v3_topk_boltzmann_seed1
topk_boltzmann,2,242.6967,242.6967,300000,166.0006,-44.4751,30,runs/lunarlander_300k/20260604-090421_LunarLander-v3_topk_boltzmann_seed2
topk_boltzmann,3,245.7362,245.7362,300000,109.2422,-27.9937,30,runs/lunarlander_300k/20260604-115205_LunarLander-v3_topk_boltzmann_seed3
topk_boltzmann,4,237.6687,264.7461,150000,224.6009,71.6781,30,runs/lunarlander_300k/20260604-211807_LunarLander-v3_topk_boltzmann_seed4
uncertainty_switch,0,225.3988,260.4531,100000,224.0158,113.5288,30,runs/lunarlander_300k/20260603-233147_LunarLander-v3_uncertainty_switch_seed0
uncertainty_switch,1,265.4444,267.1721,290000,187.0673,19.6978,30,runs/lunarlander_300k/20260604-021927_LunarLander-v3_uncertainty_switch_seed1
uncertainty_switch,2,228.3128,262.7606,290000,232.8466,45.3769,30,runs/lunarlander_300k/20260604-094653_LunarLander-v3_uncertainty_switch_seed2
uncertainty_switch,3,239.8315,240.4817,290000,222.4041,53.1859,30,runs/lunarlander_300k/20260604-173135_LunarLander-v3_uncertainty_switch_seed3
uncertainty_switch,4,258.3379,258.3379,300000,225.1269,26.7041,30,runs/lunarlander_300k/20260604-220108_LunarLander-v3_uncertainty_switch_seed4
